Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-06-22,25.80613,26.78786,25.21107,25.30397,257373
2001-06-25,24.49047,25.99947,23.50949,25.71323,357187
2001-06-26,25.99947,26.3083,24.7993,25.99947,337440
2001-06-27,26.1928,26.1928,25.39938,26.1928,130867
2001-06-28,25.90154,25.90154,24.7064,24.7064,87990
2001-06-29,24.29714,25.90154,23.60465,25.21107,370074
2001-07-02,24.89471,24.89471,22.19182,22.90991,52969
2001-07-03,22.7904,23.00582,21.40192,21.40192,40583
2001-07-04,21.49758,21.49758,19.84572,19.98958,31125
2001-07-05,20.20476,20.70743,19.98958,20.20476,29255
2001-07-06,20.30042,21.40192,20.1091,21.09058,30861
2001-07-09,21.40192,21.49758,20.80334,21.49758,52063
2001-07-10,21.59349,21.68915,20.20476,20.39659,37542
2001-07-11,19.65414,20.1091,19.10352,20.1091,37715
2001-07-12,20.70743,23.19715,20.39659,23.19715,72956
2001-07-13,23.69981,24.29714,22.50291,23.19715,79818
2001-07-16,23.00582,23.60465,22.69423,23.60465,15151
2001-07-17,23.19715,23.50949,21.68915,21.68915,25120
2001-07-18,21.21059,22.00024,20.80334,22.00024,19248
2001-07-19,22.00024,22.00024,21.30626,21.30626,24165
2001-07-20,21.09058,21.40192,20.80334,20.899,14104
2001-07-23,21.40192,22.90991,21.40192,22.19182,29850
2001-07-24,22.50291,22.59857,21.21059,21.40192,20641
2001-07-25,21.68915,21.80892,20.80334,20.80334,16462
2001-07-26,21.49758,22.40725,21.21059,22.19182,30496
2001-07-27,22.69423,23.69981,22.69423,23.50949,57041
2001-07-30,23.00582,25.71323,23.00582,24.29714,54266
2001-07-31,24.20172,25.21107,23.79497,24.89471,34776
2001-08-01,25.21107,25.21107,24.39255,24.7064,38393
2001-08-02,24.7993,25.90154,24.7993,25.39938,52433
2001-08-03,25.21107,25.5902,24.7993,25.08804,20954
2001-08-06,24.99263,25.90154,24.99263,25.49479,22151
2001-08-07,25.39938,25.39938,25.08804,25.30397,16026
2001-08-08,24.99263,24.99263,23.79497,23.79497,23271
2001-08-09,23.50949,24.20172,23.19715,24.20172,12563
2001-08-10,24.49047,25.08804,24.39255,24.7064,28230
2001-08-13,24.61099,25.21107,24.61099,25.21107,14395
2001-08-14,25.21107,25.71323,25.21107,25.39938,24684
2001-08-16,25.5902,25.5902,24.99263,25.49479,22464
2001-08-17,25.21107,25.39938,24.89471,25.21107,26932
2001-08-20,24.7993,25.08804,24.01341,24.39255,18235
2001-08-21,24.29714,24.99263,24.29714,24.7993,4555
